PROJETO-ID,PROJETO
164,2195 - CV -  FINEP/FCPC - CENTRO DE ALERTA DE FENOMENOS EXTREMOS
165,2196 - CV.SICONV/SEAP/FCPC/UFC-PLDM
166,2197 - CV -  LG PLANO DE TRABALHO 05
167,2200 - CV -  PETROBRAS/FADE/FCPC - REVEST. METALICO/CONTRAPARTIDA
168,2202 - CV -  FNS/FCPC-ESTUDO SOBRE SAUDE PERINATAL EM 4 CAPITAIS NORDESTINA
169,2207 - CARTA FCPC - 8TH - INTERNATIONAL CONFERENCE ON INDEPENDENTE
170,2208 - CT-FCPC/UFC - EDUCACAO NA SAUDE-UNASUS
171,2209 - CT -  UFC/FCPC-INFRA-ESTRUTURA DAS BIBLIOTECAS DE APOIO PRESENCIAL
172,2210 - CT-FCPC/UFC - RENORBIO
173,2211 - CT-FCPC/UFC - PROJETO PILOTO NACIONAL DE TELESAUDE
174,2212 - CT -  UFC/FCPC -ACOES REFERENTES AO 1Âº E 2Âº SEMESTRES
175,2213 - CT -  UFC/FCPC - PROJETO PROJOVEM CAMPO
176,2216 - CT - FCPC/UFC - PROJETO DE DESCENTRALIZAÃ‡ÃƒO PAR
177,2222 - CT - FAIMER/FCPC - PROGRAMA EDUCACIONAL FAIMER 2009
178,2224 - CT -  UFC/FCPC - CURSO DE MESTRADO EM AVALIACAO DE POLITICAS PUBLICAS -
179,2229 - CV -  DIGITRO/FCPC/UFC/DESENVOLVIMENTO SOFTWARE ATUM EXTENTED
180,2231 - CT -  UFC/FCPC - CURSO DE POS-GRADUACAO EM JORNALISMO CIENTIFICO
181,2233 - CV -  CEFET/FCPC - CURSOS DE LIC. MATEMATICA E TEC. EM HOSPEDAGEM
182,2234 - CV -  FADE/FCPC/UFC - CONTRAPARTIDA PETROBRAS
183,2235 - CV -  CAGECE/UFC/FCPC/MONITORAMENTO SDOES
184,2236 - CT -  UFC/SEAP/FCPC - CADEIA PRODUTIVA DA LAGOSTA
185,2239 - CV -  ROCKWELL/FCPC-DESEN.TECNOLOGICO NAS AREAS DE AUTOMACAO E CONTROLE
186,2240 - CV -  BNB/FCPC - TRAJETORIAS E OLHARES SOBRE VIOLENCIAS E CONFLITOS SOCI
187,2241 - CV -  MS/FCPC-CURSO SOBRE TERAPIA COMUNITARIA SISTEMICA INTEGRATIVA
188,2242 - CT -  ACHE/UFC/FCPC - ARTROLIVE
189,"2243 - CV. BNB/FCPC - HISTÃ“RIA, ORGANIZAÃ‡ÃƒO E TITULAÃ‡ÃƒO DOS ASSENTAMENTOS DO CEARÃ"
190,2244 - CT -  ROCHE/UFC/FCPC - ESTUDO CLINICO C.E.R.A
191,2246 - CV -  FINEP/FCPC-HEPERT.ARTERIAL RESIST.E SIND. DA APNEIA OBST.DO SONO
192,2248 - CV -  BNB/FCPC - PROJETO DIGITALIZACAO DE ACERVO BIBLIOGRAFICO
193,2249 - CARTA ACORDO OPAS/FCPC-REVALIDACAO DE DIPLONAS DE GRAD. EM MEDICINA
194,2250 - CT -  NOVUS/FCPC-PRESTACAO DE SERVICOS -USO DE MERA EM C. MARINHO
195,2251 - CV - BNB/UFC/FCPC - PORTAL DO MICROCREDITO DO NORDESTE
196,2253 - CV -  TELEMATICA/FCPC - PT 05 SISTEMAS INTELIGENTES
197,2254 - CV -  BEMATECH/UFC/FCPC - TERMO ADITIVO 03
198,2256 - CARTA ACORDO OPAS/FCPC-III CONG.BRAS.SOBRE USO DE MEDICAMENTOS
199,2260 - CV - FLEXTRONICS/UFC/FCPC - PROJETO SLIP
200,2263 - CARTA FCPC / GREAT -MODELAGEM PROTOTIPAGEM
201,2265 - CV - FLEXTRONICS/UFC/FCPC - PT 08 - PC DIAGNOSIS
202,2266 - CARTA LG/FCPC - OUTROS CORRELATOS
203,2269 - CV - FLEXTRONICS/UFC/FCPC - PLANO DE TRABALHO NÂ° 09
204,2270 - CV - FLEXTRONICS/UFC/FCPC - PLANO DE TRABALHO NÂ° 10
205,2273 - CV - UFC/FCPC-SEDH/PR-COMPLEMENTACAO DA EXPANSAO PAIR
206,2274 - CV -  FINEP/FCPC-AVALIACAO DA EFICACIA E SEG.DE ALGUMAS P.MEDICINAIS
207,2277 - CV -  FLEXTRONICS/UFC/FCPC - PLANO DE TRABALHO 11
208,2278 - CV -  SECULT/FCPC - V CONGRESSO INTERNACIONAL DA SHB
209,2281 - CV -  CAGECE/FCPC - ANALISE DE DIOXIDO DE CLORO
210,2282 - CV -  CAGECE/FCPC ANALISE DE TRIALOMETANO EM LABORATORIOS
211,2284 - CV -  BNB/FUNDECI/FCPC - OVINOTEC - TECNOLOGIAS INTEGRADAS
212,2291 - CT -  UFC/FCPC - PERFIL DOS PACIENTES PORTADORES DE DOENCA CELIACA
213,2294 - CT -  ROCHE/UFC/FCPC - EMERGE 3
214,2295 - CT - NOVARTIS/UFC/FCPC/ PROTOCOLO CRAD001C2324
215,2297 - CT -  UFC/FCPC - PROINFANTIL
216,2300 -  CV. BNB/FCPC - MANEJO AGROECOLÃ“GICO DE MOSCAS DAS FRUTAS EM POMARES COMERCIAIS DE GOIABA EM CONDIÃ‡Ã•ES SEMI-ÃRIDAS DO CARIRI CEARENSE
217,2301 - CV -  BNB/FCPC - APOIO A CULTURA SOCIAL E DIGITAL NO ASSENTAMENTO MACEIO
218,2302 - CV. BNB/FCPC - CURSO DE ESPECIALIZAÃ‡ÃƒO EM GESTÃƒO SOCIAL
219,2305 - ACORDO DA CONCESSAO DO PROJETO NEURONANO
220,2308 - CT -  NOVARTIS/UFC/FCPC - ESTUDO CSOM230C2305
221,2313 - CV - BNB/FCPC - SEMINARIOS INTERNACIONAIS
222,2314 - CARTA FCPC/UFC -NEUROCIENCIA E PSICOPATOLOGIA
223,2315 - TERMO DE QUITACAO PETROBRAS/FCPC-MONITORAMENTO AMBIENTAL
224,2316 - CARTA ACORDO OPAS/FCPC-PRO-SAUDE ENFERMAGEM - FASE II
225,2318 - CV -  SME/FCPC-UFC-INFORMATICA EDUCATIVA
226,2319 - CV -  MINC/FCPC-ABRACOS 50 ANOS DO CORAL DA UFC
227,2321 - CT -  COELCE/FCPC - PROJETO ENERGIA SOCIAL
228,2322 - CV -  JABIL/UFC/FCPC - TERMO ADITIVO 12
229,2325 - CT -  GAIA/FCPC - DESENVOLVIMENTO DE SOFTWARE
230,2326 - CV -  FINEP/FCPC-CTINFRA - 01/2008 -MODERNIZACAO E CONS.DA INFRA-EST.UFC
231,2327 - CARTA ACORDO OPAS/FCPC-PRO-SAUDE - MEDICINA
232,2329 - CV -  BNB/FCPC - ACOSFRADE - UTILIZACAO DA MANIPUEIRA
233,2330 - CV -  BNB/FCPC - ARTE COMO INDUTORA DE EMPREGO E RENDA (CANOA QUEBRADA
234,2332 - CV -  BNB/FCPC - ESCOLA DE ECONOMIA SOLIDARIA E CULTURA AMBIENTALISTA
235,2333 - CV -  BNB/FCPC - DESENVOLVIMENTO LOCAL/REGIONAL: SEMINARIOS
236,2334 - CT -  UFC/FCPC - PLANO DE ACOES ARTICULADAS - PAR
237,2337 - CV -  BNB/FCPC-INCUBADORA DE TECNOLOG.DE EMPREEND.POPULARES E SOLIDARIOS
238,2340 - CV -  MPX/FCPC - ESTUDO AERODINAMICO EM PAS DE AEROGERADORES
239,2341 - CV - FUNCET/FCPC -PROGRAMA DE FORMACAO EM AUDIOVISUAL/VILA DAS ARTES
240,2342 - CV -  SICONV/SEAP/FCPC - BARRAGEM DO CASTANHAO
241,2343 - CT -  ISOFARMA/FCPC/ENSAIOS DE TRATABILIDADE QUIMICA E BIOLOGICA
242,2345 - CARTA FUNDACAO FORD/FCPC/CURSO DE EXTENSAO INICIATIVAS NEGRAS
243,2346 - CARTA COTTBUS/FCPC - WORKSHOP INTERNATIONAL CONFERENCE
244,2347 - CV -  BNB/FCPC - CONFERENCIA INTERNACIONAL - CAPTURA DE CARBONO
245,2348 - CARTA FCPC XVI ENCONTRO JACQUES DANON
246,2349 - CT -  PETROBRAS/FCPC-ANALISE DE AGUA NA AREA DE PROD. DE PETROLEO
247,2353 - CV -  CASA CIVIL - CONFERENCIA INTERNACIONAL DE CAPTURA DE CARBONO
248,2356 - CV -  CLAEFF/FCPC/PROCESSO DE CRIACAO DE CULTURAS MICROALGAIS
249,2358 - CT DE PATROCINIO BNB/FCPC - FESTIVAL UFC DE CULTURA 2009
250,2360 - CARTA CEPOP/FCPC - NOVA CEPOP
251,2361 - CT -  OPAS/FCPC-PRODUCAO DE MATERIAL INSTRUCIONAL E APOIO FAIMER 2010
252,2362 - CV -  CGDT/UFC - AMBIENTE COMPUTACIONAL PARA S2GPR
253,2363 - CV -  SDE/FCPC - FEIRAS DE FORTALEZA
254,2364 - CV -  BNB/FCPC - PORTAL DO SEMIARIDO
255,2365 - CV -  HABITAFOR/FCPC - 4 CONFERENCIA DA CIDADE DE FORTALEZA
256,2366 - CV - BNB/FCPC - ANALISE DO CRESCIMENTO PRO-POBRE
257,2367 - CV -  BNB/FCPC - O DESEQUILIBRIO DE BEM ESTAR SOCIAL NO BRASIL
258,2368 - CV. BNB/FCPC - O IMPACTO DOS EFEITOS CLIMATICOS NA DEMANDA POR ENERGIA
259,2369 - CT -  NOVARTIS/UFC/FCPC - ENSAIO CLINICO CLAF237B2224
260,2370 - CT -  UFC/FCPC - CURSO DE ESPECIALIZACAO EM ENDODONTIA
261,2371 - CV -  BNB/FCPC - PRODUCAO DE CONHECIMENTO E FORMACAO DE RECURSOS HUMANOS
262,2373 - CV -  SECULTFOR/FCPC-MAPEAMENTO CULTURAL DO M. DE FORTALEZA
263,2374 - CV -  SECULTFOR/FCPC-FORTALEZA CIDADE CRIATIVA EM MUSICA
264,2375 - CT -  NOVARTIS/UFC/FCPC - ESTUDO CLINICO CSOM230C2303
265,2376 - CT -  SETFOR/FCPC-PLANO DE DESENV. INTEGRADO DO TURISMO SUSTENTAVEL
266,2377 - CT -  IMPARH/FCPC-CONCURSO SELECIONAR CANDIDATOS P/O PROVIMENTO DE CARGO
267,2378 - CV -  INSTITUTO ATLANTICO/FCPC - RNP
268,2379 - CV -  BNB/FCPC - ECOS NORDESTE
269,2380 - CV -  SME/FCPC - 83/2009 - PROGRAMA BRASIL ALFABETIZADO
270,2381 - CV -  BNB/FCPC - SEMINARIOS SOBRE TURISMO E CULTURA REGIONAL
271,2382 - CT -  UFC/FCPC - FORMACAO DE EDUCACAO INTEGRAL/PROGRAMA MAIS EDUCACAO
272,"2384 - CT -  UFC/FCPC - FORMACAO PROFESSORES, GESTORES, AGENTES -EJA"
273,2385 - CT ISOFARMA/FCPC - ENSAIOS DE TRATABILIDADE QUIMICA
274,2386 - CV -  98/2009 - CAGECE/FCPC - OFERTA DE GORDURA RESIDUAL LANCADA
275,2387 - CT -  UFC/FCPC - CURSO ESPECIALIZACAO EM HEMATOLOGIA E HEMOTERAPIA
276,2391 - CT -  UFC/FCPC - OFERTA DOS CURSOS DE GRADUACAO DA UAB 5Âº E 6Âº SEMESTRES
277,2394 - CT -  UFC/FCPC - CURSO DE MESTRADO PROFISSIONAL EM FINANCAS E SEGUROS
278,2395 - CV -  FINEP/FCPC-MELH. DA INFRA-ESTRUT. CAMPI DA UFC CARIRI/SOBRAL
279,2396 - CV. BNB/FCPC - COLOQUIO INTERNACIONAL FRANÃ‡A/BRASIL: OLHARES SOBRE IMAGINÃRIOS E PRÃTICAS CULTURAIS
280,2397 - CARTA UNIAO EUROPEIA/FCPC/ERASMUS MUNDUS
281,2401 - CV -  SMS/FCPC - CAPS REDE MUNICIPAL DE SAUDE MENTAL
282,2403 - CT -  UFC/FCPC - CURSOS DE GRADUACAO UAB - 1Âº E 2Âº SEMESTRES
283,2404 - CT -  UFC/FCPC - TAXA DE BANCADA
284,2406 - CV -  SICONV: SEAP/FCPC-025/2009-CIPAR/BEBERIBE/CE
285,2408 - CV -  FLEXTRONICS/UFC/FCPC - PROJETO SHRIMP
286,2409 - CV -  SICONV/SENAD/FCPC-017/2009-TERAPIA COMUNITARIA
287,2413 - CARTA ACORDO OPAS/FCPC - SESSOES PRESENCIAIS FAIMER 2010
288,2414 - CV. IPEM/FCPC - PARTICIPACAO NA RNP
289,2415 - CARTA/FCPC-IV CONGRESSO IBERO-AMERICANO DE PESQ. QUALITATIVA EM SAUDE
290,2419 - CV -  04/2009 FUNCAP/FCPC - TECNOLOGIA E INOVACAO
291,2421 - CT -  UFC/FCPC - HISTORIA E CULTURA AFRICANA E DOS AFRODESCENDENTES
292,2422 - CV -  BNB/FCPC -PUBLICACAO DO LIVRO: GASTROENTEROLOGIA E HEPATOLOGIA
293,2423 - CV - ICC/FCPC-REDE NACIONAL DE ENSINO E PESQUISA
294,2423 - CV. ICC/FCPC - PARTICIPAÇÃO NA REDE NACIONAL DE ENSINO E PESQUISA
295,2424 - CV -  BNB/FCPC/UFC - EDICAO REVISTA DE CIENCIAS SOCIAIS
296,2425 - CT -  SPF/FCPC - DESEMPENHO DO CAMARAO BRANCO
297,2426 - CT - EMBRAPA/LUCIMEIRE/FCPC/MANEJO DE ESPECIES DE FLORES
298,2429 - CT - UFC/FCPC - CURSO DE PSICOLOGIA HOSPITALAR IV
299,2432 - CV -  CIS/UFC/FCPC - TERMO ADITIVO 01
300,2433 - CV. FINEP/FUNCEME-CONTRAPARTIDA-CAFE
301,2434 - CV -  SECITECE/CONTRAPARTIDA - SIBRATEC
