PROJETO-ID,PROJETO
229,1370 - CARTA/FCPC/UFC/METODO RIETVELD
230,1372 - CV - FCPC/LABOMAR/SEMACE-ZONEA.ECOLOGICO
231,1373 - CT - FCPC/EAFI/CONCURSO IGUATU
232,1375 - CT - FCPC/EMBRAPA/IFAD TAG 659-ICARDA
233,1376 - CARTA/FCPC/FOGAO SOLAR
234,1378 - CV - FINEP/FCPC-CRIACAO DO C.PESQ. DA UFC
235,1379 - CT - FCPC/P.OLINDA/PROJ.DE CONT.DA EROSAO
236,1380 - CT - UFC/FCPC/CURSO DE ESP.EM DENTISTICA
237,1381 - CT FCPC/DOMINIO - TREINAMENTO
238,1382 - CV - EMBRAPA/PRODETAB/FCPC/1020003/0171-3
239,1384 - FCF/FUNDO DE CREDITO
240,1385 - CARTA/FCPC/LABOMAR ALEMANHA
241,1386 - FCPC/UFC/LINGUAGENS E PADROES
242,1387 - CT - FUND.BIODIVERSITAS/FCPC/ESP.AMEACADAS
243,1389 - CT.FCPC/UNESCO/MS/HIV EM MULHERES
244,1392 - CT - BORTALUZZI/EMBRAPA/FCPC-AGUA DE COCO
245,1393 - CV - INST.ATLANTICO/FCPC-P.TRABALHO 07.
246,1394 - CV - CV - FUNCAP/FCPC-08-2004
247,1397 - CT - UFC/FCPC/CURSO DE ESP.EM TEC.INFORMAC
248,1398 - CT - UFC/FCPC/CURSO DE HEMATOLOGIA 2004.
249,1400 - CV - FUNCAP/FCPC- 15/2004 - PPP
250,1401 - CV - INSTITUTO ATLANTICO/FCPC PT 08
251,1402 - CT - EMBRAPA/FCPC/MAIRTON BRANDAO - BELA CRUZ
252,1403 - CT - UFC/FCPC/VESTIBULAR 2005
253,1405 - CT - FCPC/SEBRAE/CRID-PREST.DE SERVICOS
254,1408 - CT - CENTEC/FCPC-LINGUAGEM DAS LETRAS
255,1409 - CV - SOLECTRON/PT 02 - CADTRON
256,1410 - CV - DIGITRO/FCPC/ROTRIX
257,1411 - CV - FCPC/UNITRABALHO ECONOMIA SOLIDARIA
258,1412 - SOLECTRON/FCPC/TAXAS
259,1413 - CARTA/FCPC/SIMPOSIO DE GPR
260,1414 - CV - PRONERA/INCRA/FCPC-ALFABETIZACAO
261,1415 - CV - PRONERA/INCRA/FCPC-ESC.DE EDUCADORES
262,1416 - CV - FINEP/FCPC-NECROSE EM CAMARAO
263,1417 - CARTA/LABOMAR/CAMAROES MARINHOS
264,1418 - CV - DIGITEL/FCPC-SUPORTE I PV 6
265,1419 - CT - SEBRAE/FCPC-CONSULTORIA
266,1420 - CV - FINEP/FCPC/NUMERATIZAR
267,1421 - CT - SEDAS/FCPC-OLIMPIADA DE PORTUGUES
268,1423 - CT - IICA/FCPC-PRESTACAO DE SERVICOS
269,1424 - DOACAO/UFC/SECRET.DE REC.HUMANOS/FESTAS
270,1425 - CT - UFC/FCPC/CURSO DE ESP.HEM.CLINICA
271,1426 - CT - CPRM/FCPC-PRESTACAO DE SERVICOS
272,1427 - CARTA/FCPC/SEBRAE/AVALIACAO DA PRODUCAO
273,1428 - CV - FUNCAP/FCPC/DCR N. 19/2004
274,1430 - CV - FUNCAP/FCPC-21/2004 - BOLSA
275,1431 - ACORDO OPAS/OMS/FCPC-PROMED II FASE
276,1432 - CV - SESA/UFC/FCPC/DIAG.EPIDEMIOLOGICO
277,1433 - CARTA/FCPC/CPQD/FERNANDO CARVALHO
278,1434 - CV - INCRA/FCPC - PEDAGOGIA DA TERRA
279,1435 - CV - FINEP/FCPC-C.DE MEDICAMENTOS FASE 2
280,1436 - CT SEAGRI/FCPC/PROGRAMA LEITE E SAUDE
281,1437 - CT UFC/FCPC - CASAS DE CULTURA - 2005
282,1438 - CT UFC/FCPC - TAXA DE BANCADA 2005
283,1439 - CT UFC/FCPC-MELHORIA DO ENS.DE GRADUACAO
284,1440 - FCPC / PROGRAD
285,1441 - CV - FINEP/FCPC/EXPOSICAO DA CIENCIA DO CE
286,1442 - CT  UFC/FCPC-CURSO FORMACAO CONTINUADA
287,1443 - CARTA/FCPC/LABOMAR/CEDECAM
288,1445 - CT - PETROBRAS/FCPC/BIODEGRADAVEIS
289,1447 - CT - UFC/FCPC-CURSO ESPIE/2004.
290,1448 - CT - UFC/FCPC/C.ESP.BIOL.MOLECULAR/2005
291,1450 - FCPC/DIAGNOSTICO     DE     FALTAS    EM
292,1451 - CV - INCRA/PRONERA/INCRA/CCA/ATER
293,1452 - CV - DNOCS/FCPC-UNID.PRODUTORA DE ALEVINOS
294,1453 - CARTA/FCPC/SIMP.REDE COMPUTADORES
295,1454 - CT - FCPC/EMBRAPA/IAEA-MOSCA DAS FRUTAS
296,1455 - CV FCPC/PETROBRAS - GASLOG
297,1456 - CT - UNESCO/FCPC/ATENC.PRIMARIA A SAUDE
298,1457 - CT - CAGECE/FCPC/SDOES
299,1458 - TERMO COOP.TECNICA/FINATEC/FCPC
300,1459 - ADM / UFC
301,1460 - FCPC / NPD - PROJETO SOFIA
302,1461 - CV - SEAP/FCPC/CADEIA PROD. LAGOSTA VIVA
303,1463 - CT - UFC/FCPC/CURSO DE ESP.PROTESE DENTAL
304,1464 - CV - FINEP/FCPC/ESSENCIAS N.DE F.TROPICAIS
305,1465 - CV - DIGITEL/FCPC-PT 02
306,1466 - CT - UNESCO/FCPC-STA.CASA URGENCIA E EMERGENCIA
307,1468 - CV - FCPC/TELEMATICA/COOPERACAO TECNICA
308,1469 - CV - PETROBRAS/FCPC/CONTRAPARTIDA UNIAO DE
309,1470 - CT - UFC/FCPC/TESTE DE NIVEL
310,1472 - CV LG / FCPC - COOPERACAO TECNICA
311,1473 - CV - BENCHMARK/FCPC/COOP.TECNICA
312,1475 - CT - FCPC/DNOCS - INVENTARIO
313,1477 - CV - DIGITRO/FCPC/ROTRIX - PT 03
314,1478 - CT - PETROBRAS/FCPC-PROJETO DSOL
315,1481 - CV - FINEP/FCPC-ENSINO-APREND.DE CIENCIAS
316,1483 - CV - PETROBRAS/FCPC-FOME ZERO
317,1486 - CV - 005/2005-BNB/EMBRAPA/ZONEAMENTO
318,1487 - CV - FCPC/SAMSUNG ELETRONICA-COOP.TECNICA
319,1489 - CV - SOLECTRON/FCPC PT 03
320,1490 - CV -  BB/INCRA/FCPC - PROJETOS DE ASSENTAMENTO DO INCRA
321,1491 - CT UFC/FCPC-C.ESP.EM EST.LITERARIOS
322,1492 - CT UFC/FCPC-CASAS DE CULTURA - 2005/2
323,1494 - CV - PETROBRAS/FADE/CONTRAP.BETUMINOSOS
324,1495 - CT - UNESCO/FCPC-POLO DE EDUCACAO
325,1496 - CV - SEAP/FCPC-CULTIVO DA OSTRA
326,1497 - CT - PETROBRAS/FCPC-GAS COMERCIALIZADO
327,1498 - CT - UFC/FCPC/CURSO ENDODONTIA/2005
328,1499 - CARTA/FCPC-COMUNICACAO SOCIAL
329,1500 - CARTA/FCPC-PROJETO FISICA OLIMPIADAS
330,1502 - CT  CPRM/UFC/FCPC-MAPEAMENTO GEOLOGICO E
331,1503 - CT  FCPC/UFC - CURSO DE EXTENSAO DE ANATOMIA
332,1504 - CARTA/FCPC/LABOMAR/EVENTO ISDC E SBSD
333,1505 - CT - BB/FCPC/FORMACAO DE TUTORES
334,1507 - CV - PETROBRAS/FCPC/AGROSILVIPASTORIL
335,1509 - CARTA/FCPC-II CONGRESSO - NAVE
336,1510 - CT - UFC/FCPC/VESTIBULAR - 2006
337,1511 - CT - SAMEAC/FCPC-PRESTACAO DE SERVICOS
338,1512 - CT - JANSSEN-CILAG/FCPC-TRANSPLANTE ANEMIA
339,1513 - CARTA/FCPC/PROJETO MANDIOCA
340,1514 - CV - FUNCAP/FCPC - 16/2005-DCR
341,1515 -  CARTA ACORDO/UNESCO - FCPC-REDE DE HOSP. SENTINELA
342,1515 - CARTA ACORDO/UNESCO - FCPC-REDE DE HOSP. SENTINELA
343,1517 - CT - UFC/FCPC-X ENAPET
344,1518 - CT - FLEM/FCPC-SERVICOS E CONSULTORIA
345,1520 - CT - CAGECE/FCPC/PORTO DO PECEM
